id,name,link,immunity_condition,immunity_damage,def,hits,habitat,exp,speed,resist,saving,debility,languages,feels,skill_bonus,source,strength,dexterity,constitution,intelligence,wisdom,charisma,brief_inf
1,Аластра [Alastrah],https://dnd.su/bestiary/7758-alastrah/,,,10,4 (1к8) ,,0 (0 или 10 опыта),30 футов,,,,словарный запас на Великаньем ограничен,пассивное Восприятие 10,+2 ,«Storm King's Thunder»,"[14, 2]","[10, 0]","[10, 0]","[10, 0]","[10, 0]","[10, 0]","Средний? Великан, нейтральный, именной НИП"
2,Альмираж  [Almiraj],https://dnd.su/bestiary/1313-almiraj/,,,13,3 (1к6) ,,0 (0 или 10 опыта),50 футов,,,,,"тёмное зрение? 30 футов, пассивное Восприятие 14",+2 ,«Tomb of Annihilation»,"[2, -4]","[16, 3]","[10, 0]","[2, -4]","[14, 2]","[10, 0]","Маленький? Зверь, без мировоззрения"
3,Арабэлль [Arabelle],https://dnd.su/bestiary/4679-arabelle/,,,10,2 (1к8 - 2) ,,0 (0 или 10 опыта),30 футов,,,,Общий,пассивное Восприятие 10,+2 ,«Curse of Strahd»,"[10, 0]","[10, 0]","[10, 0]","[10, 0]","[10, 0]","[10, 0]","Средний? Гуманоид (любая раса), любое мировоззрение, именной НИП"
4,Ааракокра симулякр [Aarakocra Simulacrum],https://dnd.su/bestiary/7756-aarakocra-simulacrum/,,,12,6 (3к8 - 7) ,,1/8 (25 опыта),"20 футов, летая 50 футов",,,,Ауран,пассивное Восприятие 15,+2 ,«Storm King's Thunder»,"[10, 0]","[14, 2]","[10, 0]","[11, 0]","[12, 1]","[11, 0]","Средний? Гуманоид, нейтрально-добрый"
5,Ааракокра [Aarakocra],https://dnd.su/bestiary/30-aarakocra/,,,12,13 (3к8) ,горы,1/4 (50 опыта),"20 футов, летая 50 футов",,,,Ауран,пассивное Восприятие 15,+2 ,«Monster manual»,"[10, 0]","[14, 2]","[10, 0]","[11, 0]","[12, 1]","[11, 0]","Средний? Гуманоид, нейтрально-добрый"
6,Анарх [Anarch],https://dnd.su/bestiary/10542-anarch/,,,13,11 (2к8 + 2) ,,1/4 (50 опыта),30 футов,,,,Любой 1 (обычно Общий),пассивное Восприятие 12,+2 ,«Guildmasters' guide to Ravnica»,"[14, 2]","[13, 1]","[12, 1]","[9, -1]","[11, 0]","[10, 0]","Маленький? или Средний? Гуманоид (любой расы), хаотично-нейтральный"
7,Агата Серебряная ложка [Agathe Silverspoon],https://dnd.su/bestiary/7885-agathe-silverspoon/,,,13,15 (2к8 + 6) ,,1/2 (100 опыта),30 футов,,,,"Общий, Орочий","тёмное зрение? 60 футов, пассивное Восприятие 10",+2 ,«Critical Role: Call of the Netherdeep»,"[16, 3]","[12, 1]","[16, 3]","[7, -2]","[11, 0]","[10, 0]","Средний? Гуманоид (орк), хаотично-добрый, именной НИП"
8,Амфисбена [Amphisbaena],https://dnd.su/bestiary/7169-amphisbaena/,,,14,11 (2к8 + 2) ,,1/2 (100 опыта),"30 футов, плавая 30 футов",,,,,"слепое зрение? 10 футов, пассивное Восприятие 14",+2 ,«Mythic Odysseys of Theros»,"[14, 2]","[18, 4]","[12, 1]","[3, -4]","[10, 0]","[3, -4]","Средний? Монстр, без мировоззрения"
9,Амфисбена [Amphisbaena],https://dnd.su/bestiary/7498-amphisbaena/,,,14,11 (2к8 + 2) ,,1/2 (100 опыта),"30 футов, плавая 30 футов",,,,,"слепое зрение? 10 футов, пассивное Восприятие 12",+2 ,«Ghosts of Saltmarsh»,"[14, 2]","[18, 4]","[12, 1]","[3, -4]","[10, 0]","[3, -4]","Средний? Монстр, без мировоззрения"
10,Аазон Талиери [Aazon Talieri],https://dnd.su/bestiary/6047-aazon-talieri/,,,12,27 (6к8) ,,1 (200 опыта),30 футов,,,,любые два языка,пассивное Восприятие 16,+2 ,«Tomb of Annihilation»,"[10, 0]","[15, 2]","[10, 0]","[12, 1]","[14, 2]","[16, 3]","Средний? Гуманоид (человек тетирец), нейтрально-добрый, именной НИП"
11,Алдани (Лобстеролюд) [Aldani Lobsterfolk],https://dnd.su/bestiary/1314-aldani-lobsterfolk/,,,14,49 (9к8 + 9) ,,1 (200 опыта),"20 футов, плавая 30 футов",,,,Общий,"тёмное зрение? 60 футов, пассивное Восприятие 14",+2 ,«Tomb of Annihilation»,"[13, 1]","[8, -1]","[12, 1]","[10, 0]","[14, 2]","[10, 0]","Средний? Монстр, законно-нейтральный"
12,Альсеид [Alseid],https://dnd.su/bestiary/7159-alseid/,"испуг?, отравление?, очарование?",яд,15,22 (4к8 + 4) ,,1 (200 опыта),30 футов,излучение,,,"Общий, Сильван",пассивное Восприятие 12,+2 ,«Mythic Odysseys of Theros»,"[15, 2]","[10, 0]","[12, 1]","[13, 1]","[14, 2]","[18, 4]","Средняя? Фея, хаотично-добрая"
13,Архелон [Archelon],https://dnd.su/bestiary/5962-archelon/,,,14,26 (4к8 + 8) ,,1 (200 опыта),"10 футов, плавая 40 футов",,,,,пассивное Восприятие 13,+2 ,«Adventurers League»,"[16, 3]","[13, 1]","[14, 2]","[2, -4]","[12, 1]","[5, -3]","Большой? Зверь, без мировоззрения"
14,Архелон зомби [Archelon Zombie],https://dnd.su/bestiary/5980-archelon-zombie/,отравление?,яд,11,26 (4к8 + 8) ,,1 (200 опыта),"10 футов, плавая 20 футов",,,,,"тёмное зрение? 60 футов, пассивное Восприятие 9",+2 ,«Adventurers League»,"[16, 3]","[6, -2]","[14, 2]","[1, -5]","[8, -1]","[3, -4]","Большая? Нежить, без мировоззрения"
15,Астральная зараза [Astral Blight],https://dnd.su/bestiary/9251-astral-blight/,,,12,26 (4к8 + 8) ,,1 (200 опыта),10 футов,"излучение, холод",,,,"слепое зрение? 60 футов (слеп за его пределами), пассивное Восприятие 10",+2 ,«Spelljammer: Adventures in Space»,"[16, 3]","[8, -1]","[14, 2]","[6, -2]","[10, 0]","[3, -4]","Среднее? Растение, без мировоззрения"
16,Аартук звездный ужас [Aartuk starhorror],https://dnd.su/bestiary/8700-aartuk-starhorror/,,,14,52 (8к8 + 16) ,,2 (450 опыта),"20 футов, лазая 20 футов",,,,Язык Аартуков,"тёмное зрение? 60 футов, пассивное Восприятие 13",+2 ,«Spelljammer: Adventures in Space»,"[12, 1]","[10, 0]","[14, 2]","[13, 1]","[16, 3]","[10, 0]","Среднее? Растение, обычно законно-злое"
17,Аартук травянник [Aartuk weedling],https://dnd.su/bestiary/8701-aartuk-weedling/,,,15,38 (7к8 + 7) ,,2 (450 опыта),"20 футов, лазая 20 футов",,,,Язык Аартуков,"тёмное зрение? 60 футов, пассивное Восприятие 11",+2 ,«Spelljammer: Adventures in Space»,"[14, 2]","[12, 1]","[13, 1]","[10, 0]","[13, 1]","[10, 0]","Среднее? Растение, обычно законно-злое"
